total_originals_written,source_folder,filename,source_path,output_path,reason
59,ind1,data214.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind1/data214.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind1/data214.txt,refusal/guardrail wording detected; original email restored
59,ind1,data236.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind1/data236.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind1/data236.txt,refusal/guardrail wording detected; original email restored
59,ind1,data242.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind1/data242.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind1/data242.txt,refusal/guardrail wording detected; original email restored
59,ind1,data328.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind1/data328.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind1/data328.txt,refusal/guardrail wording detected; original email restored
59,ind1,data355.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind1/data355.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind1/data355.txt,refusal/guardrail wording detected; original email restored
59,ind1,data356.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind1/data356.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind1/data356.txt,refusal/guardrail wording detected; original email restored
59,ind1,data376.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind1/data376.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind1/data376.txt,refusal/guardrail wording detected; original email restored
59,ind1,data396.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind1/data396.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind1/data396.txt,refusal/guardrail wording detected; original email restored
59,ind2,data206.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind2/data206.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind2/data206.txt,refusal/guardrail wording detected; original email restored
59,ind2,data208.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind2/data208.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind2/data208.txt,refusal/guardrail wording detected; original email restored
59,ind2,data233.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind2/data233.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind2/data233.txt,refusal/guardrail wording detected; original email restored
59,ind2,data237.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind2/data237.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind2/data237.txt,refusal/guardrail wording detected; original email restored
59,ind2,data244.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind2/data244.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind2/data244.txt,refusal/guardrail wording detected; original email restored
59,ind2,data250.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind2/data250.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind2/data250.txt,refusal/guardrail wording detected; original email restored
59,ind2,data259.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind2/data259.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind2/data259.txt,refusal/guardrail wording detected; original email restored
59,ind2,data270.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind2/data270.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind2/data270.txt,refusal/guardrail wording detected; original email restored
59,ind2,data276.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind2/data276.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind2/data276.txt,refusal/guardrail wording detected; original email restored
59,ind2,data313.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind2/data313.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind2/data313.txt,refusal/guardrail wording detected; original email restored
59,ind2,data333.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind2/data333.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind2/data333.txt,refusal/guardrail wording detected; original email restored
59,ind2,data373.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind2/data373.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind2/data373.txt,refusal/guardrail wording detected; original email restored
59,ind2,data382.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind2/data382.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind2/data382.txt,refusal/guardrail wording detected; original email restored
59,ind2,data532.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind2/data532.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind2/data532.txt,refusal/guardrail wording detected; original email restored
59,ind2,data534.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind2/data534.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind2/data534.txt,refusal/guardrail wording detected; original email restored
59,ind2,data544.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind2/data544.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind2/data544.txt,refusal/guardrail wording detected; original email restored
59,ind2,data568.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind2/data568.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind2/data568.txt,refusal/guardrail wording detected; original email restored
59,ind2,data570.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind2/data570.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind2/data570.txt,refusal/guardrail wording detected; original email restored
59,ind3,data226.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind3/data226.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind3/data226.txt,refusal/guardrail wording detected; original email restored
59,ind3,data255.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind3/data255.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind3/data255.txt,refusal/guardrail wording detected; original email restored
59,ind3,data256.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind3/data256.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind3/data256.txt,refusal/guardrail wording detected; original email restored
59,ind3,data263.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind3/data263.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind3/data263.txt,refusal/guardrail wording detected; original email restored
59,ind3,data277.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind3/data277.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind3/data277.txt,refusal/guardrail wording detected; original email restored
59,ind3,data278.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind3/data278.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind3/data278.txt,refusal/guardrail wording detected; original email restored
59,ind3,data336.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind3/data336.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind3/data336.txt,refusal/guardrail wording detected; original email restored
59,ind3,data372.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind3/data372.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind3/data372.txt,refusal/guardrail wording detected; original email restored
59,ind3,data500.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind3/data500.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind3/data500.txt,refusal/guardrail wording detected; original email restored
59,ind3,data504.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind3/data504.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind3/data504.txt,refusal/guardrail wording detected; original email restored
59,ind3,data515.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind3/data515.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind3/data515.txt,refusal/guardrail wording detected; original email restored
59,ind3,data521.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind3/data521.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind3/data521.txt,refusal/guardrail wording detected; original email restored
59,ind3,data526.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind3/data526.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind3/data526.txt,refusal/guardrail wording detected; original email restored
59,ind3,data574.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind3/data574.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind3/data574.txt,refusal/guardrail wording detected; original email restored
59,ind3,data595.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind3/data595.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind3/data595.txt,refusal/guardrail wording detected; original email restored
59,ind4,data221.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind4/data221.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind4/data221.txt,refusal/guardrail wording detected; original email restored
59,ind4,data263.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind4/data263.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind4/data263.txt,refusal/guardrail wording detected; original email restored
59,ind4,data277.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind4/data277.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind4/data277.txt,refusal/guardrail wording detected; original email restored
59,ind4,data278.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind4/data278.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind4/data278.txt,refusal/guardrail wording detected; original email restored
59,ind4,data303.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/sorted data/ind4/data303.txt,/Users/Grape/Documents/Codex/2026-08-16/why/Agentic Frameworks/modified sorted data/ind4/data303.txt,refusal/guardrail wording detected; original email restored
