filename,ind1,ind2,ind3,ind4,max_ind1_ind4,combined,combined_minus_max_ind
data0.txt,20,10,10,20,20,15,-5
data1.txt,10,10,10,10,10,10,0
data2.txt,10,10,20,10,20,20,0
data3.txt,10,10,20,65,65,30,-35
data4.txt,10,20,10,10,20,10,-10
data5.txt,10,10,10,10,10,10,0
data6.txt,10,10,10,10,10,10,0
data7.txt,10,10,10,10,10,10,0
data8.txt,20,10,10,20,20,20,0
data200.txt,70,30,45,30,70,85,15
data201.txt,30,85,85,30,85,95,10
data202.txt,30,65,85,30,85,85,0
data203.txt,20,30,30,30,30,85,55
data204.txt,30,30,85,85,85,85,0
data205.txt,75,30,75,45,75,85,10
data206.txt,30,70,75,30,75,95,20
data207.txt,85,20,85,60,85,95,10
data208.txt,20,85,20,20,85,85,0
data209.txt,30,30,85,75,85,85,0
data210.txt,85,20,30,30,85,85,0
data211.txt,30,85,75,85,85,95,10
data212.txt,30,45,20,85,85,95,10
data213.txt,85,30,75,85,85,85,0
data214.txt,65,30,30,30,65,75,10
data215.txt,20,30,85,30,85,85,0
data216.txt,85,30,30,20,85,85,0
data217.txt,45,85,75,30,85,95,10
data218.txt,75,75,30,85,85,85,0
data219.txt,30,30,75,85,85,85,0
data220.txt,30,70,85,85,85,85,0
data221.txt,75,30,30,75,75,85,10
data222.txt,30,45,20,20,45,85,40
data223.txt,85,30,85,75,85,85,0
data224.txt,85,20,85,20,85,85,0
data225.txt,75,30,30,30,75,85,10
data226.txt,85,85,75,85,85,95,10
data227.txt,75,20,85,45,85,85,0
data228.txt,85,30,75,45,85,85,0
data229.txt,85,45,20,30,85,85,0
data230.txt,30,75,30,85,85,95,10
data231.txt,75,10,30,30,75,85,10
data232.txt,20,85,75,30,85,85,0
data233.txt,30,85,30,20,85,85,0
data234.txt,30,65,70,20,70,85,15
data235.txt,30,30,30,20,30,75,45
data236.txt,75,30,85,85,85,95,10
data237.txt,30,75,85,30,85,85,0
data238.txt,85,20,20,20,85,85,0
data239.txt,30,85,75,75,85,85,0
data240.txt,30,85,30,30,85,85,0
data241.txt,75,20,85,30,85,85,0
data242.txt,85,30,85,85,85,85,0
data243.txt,20,30,85,30,85,85,0
data244.txt,85,85,85,30,85,85,0
