filename,ind1,ind2,ind3,ind4,avg_ind1_ind4,combined,combined_minus_avg_ind
data400.txt,10,10,10,10,10,10,0
data401.txt,20,10,10,10,12.5,20,7.5
data402.txt,20,10,10,10,12.5,10,-2.5
data403.txt,10,10,20,10,12.5,10,-2.5
data404.txt,10,10,10,20,12.5,10,-2.5
data405.txt,10,10,10,10,10,10,0
data406.txt,10,10,10,10,10,10,0
data407.txt,10,10,10,10,10,10,0
data408.txt,10,10,10,10,10,20,10
data409.txt,20,20,20,10,17.5,20,2.5
data410.txt,10,10,20,10,12.5,10,-2.5
data411.txt,15,10,10,10,11.25,20,8.75
data412.txt,10,10,10,10,10,10,0
data413.txt,10,20,15,10,13.75,10,-3.75
data414.txt,10,10,10,10,10,10,0
data415.txt,10,10,10,10,10,10,0
data416.txt,10,10,10,20,12.5,10,-2.5
data417.txt,10,10,20,20,15,10,-5
data418.txt,10,10,15,10,11.25,10,-1.25
data419.txt,20,10,10,10,12.5,20,7.5
data420.txt,10,10,20,20,15,20,5
data421.txt,10,10,10,10,10,10,0
data422.txt,10,10,10,10,10,10,0
data423.txt,10,10,10,10,10,10,0
data424.txt,10,10,10,10,10,10,0
data425.txt,10,20,10,10,12.5,20,7.5
data426.txt,10,10,10,10,10,10,0
data427.txt,20,10,10,10,12.5,10,-2.5
data428.txt,10,10,10,10,10,10,0
data429.txt,10,10,10,10,10,20,10
data430.txt,10,10,10,20,12.5,10,-2.5
data431.txt,10,10,10,10,10,10,0
data432.txt,10,10,20,10,12.5,30,17.5
data433.txt,10,20,10,10,12.5,20,7.5
data434.txt,10,10,10,10,10,20,10
data435.txt,10,20,10,20,15,10,-5
data436.txt,10,10,10,10,10,10,0
data437.txt,10,10,10,10,10,20,10
data438.txt,10,10,10,10,10,10,0
data439.txt,10,10,10,10,10,10,0
data440.txt,10,10,10,20,12.5,20,7.5
data441.txt,10,10,10,10,10,10,0
data442.txt,10,10,10,10,10,10,0
data443.txt,10,10,10,10,10,10,0
data444.txt,10,20,20,10,15,10,-5
data445.txt,10,10,10,15,11.25,10,-1.25
data446.txt,10,10,15,10,11.25,10,-1.25
data447.txt,10,10,10,10,10,10,0
data448.txt,10,10,20,10,12.5,10,-2.5
data449.txt,10,10,10,20,12.5,10,-2.5
data450.txt,10,20,10,10,12.5,10,-2.5
data451.txt,10,20,10,15,13.75,10,-3.75
data452.txt,10,10,10,20,12.5,10,-2.5
data453.txt,10,10,10,10,10,10,0
data454.txt,10,10,10,20,12.5,10,-2.5
data455.txt,10,10,10,20,12.5,10,-2.5
data456.txt,20,20,10,10,15,20,5
data457.txt,10,10,10,10,10,20,10
data458.txt,10,10,10,10,10,10,0
data459.txt,10,10,10,10,10,10,0
data460.txt,10,10,10,10,10,10,0
data461.txt,10,20,20,10,15,20,5
data462.txt,10,10,20,10,12.5,10,-2.5
data463.txt,10,10,10,10,10,10,0
data464.txt,10,10,10,10,10,20,10
data465.txt,10,10,10,10,10,10,0
data466.txt,10,20,10,15,13.75,10,-3.75
data467.txt,10,10,10,10,10,20,10
data468.txt,10,10,10,20,12.5,10,-2.5
data469.txt,10,10,10,10,10,10,0
data470.txt,10,10,10,10,10,20,10
data471.txt,15,10,10,10,11.25,10,-1.25
data472.txt,10,10,10,10,10,10,0
data473.txt,10,10,10,10,10,10,0
data474.txt,10,20,10,10,12.5,10,-2.5
data475.txt,10,20,10,10,12.5,30,17.5
data476.txt,10,10,10,10,10,10,0
data477.txt,10,10,10,10,10,20,10
