filename,ind1,ind2,ind3,ind4,max_ind1_ind4,combined,combined_minus_max_ind
data400.txt,10,10,10,10,10,10,0
data401.txt,20,10,10,10,20,20,0
data402.txt,20,10,10,10,20,10,-10
data403.txt,10,10,20,10,20,10,-10
data404.txt,10,10,10,20,20,10,-10
data405.txt,10,10,10,10,10,10,0
data406.txt,10,10,10,10,10,10,0
data407.txt,10,10,10,10,10,10,0
data408.txt,10,10,10,10,10,20,10
data409.txt,20,20,20,10,20,20,0
data410.txt,10,10,20,10,20,10,-10
data411.txt,15,10,10,10,15,20,5
data412.txt,10,10,10,10,10,10,0
data413.txt,10,20,15,10,20,10,-10
data414.txt,10,10,10,10,10,10,0
data415.txt,10,10,10,10,10,10,0
data416.txt,10,10,10,20,20,10,-10
data417.txt,10,10,20,20,20,10,-10
data418.txt,10,10,15,10,15,10,-5
data419.txt,20,10,10,10,20,20,0
data420.txt,10,10,20,20,20,20,0
data421.txt,10,10,10,10,10,10,0
data422.txt,10,10,10,10,10,10,0
data423.txt,10,10,10,10,10,10,0
data424.txt,10,10,10,10,10,10,0
data425.txt,10,20,10,10,20,20,0
data426.txt,10,10,10,10,10,10,0
data427.txt,20,10,10,10,20,10,-10
data428.txt,10,10,10,10,10,10,0
data429.txt,10,10,10,10,10,20,10
data430.txt,10,10,10,20,20,10,-10
data431.txt,10,10,10,10,10,10,0
data432.txt,10,10,20,10,20,30,10
data433.txt,10,20,10,10,20,20,0
data434.txt,10,10,10,10,10,20,10
data435.txt,10,20,10,20,20,10,-10
data436.txt,10,10,10,10,10,10,0
data437.txt,10,10,10,10,10,20,10
data438.txt,10,10,10,10,10,10,0
data439.txt,10,10,10,10,10,10,0
data440.txt,10,10,10,20,20,20,0
data441.txt,10,10,10,10,10,10,0
data442.txt,10,10,10,10,10,10,0
data443.txt,10,10,10,10,10,10,0
data444.txt,10,20,20,10,20,10,-10
data445.txt,10,10,10,15,15,10,-5
data446.txt,10,10,15,10,15,10,-5
data447.txt,10,10,10,10,10,10,0
data448.txt,10,10,20,10,20,10,-10
data449.txt,10,10,10,20,20,10,-10
data450.txt,10,20,10,10,20,10,-10
data451.txt,10,20,10,15,20,10,-10
data452.txt,10,10,10,20,20,10,-10
data453.txt,10,10,10,10,10,10,0
data454.txt,10,10,10,20,20,10,-10
data455.txt,10,10,10,20,20,10,-10
data456.txt,20,20,10,10,20,20,0
data457.txt,10,10,10,10,10,20,10
data458.txt,10,10,10,10,10,10,0
data459.txt,10,10,10,10,10,10,0
data460.txt,10,10,10,10,10,10,0
data461.txt,10,20,20,10,20,20,0
data462.txt,10,10,20,10,20,10,-10
