scenario #,channel1,channel2,channel3,channel4,final
100,benign,benign,benign,benign,benign
101,benign,benign,benign,benign,benign
102,benign,benign,benign,benign,benign
103,benign,benign,benign,benign,benign
104,benign,benign,benign,benign,benign
105,benign,benign,benign,benign,benign
106,benign,benign,benign,benign,benign
107,benign,benign,benign,benign,benign
108,benign,benign,benign,benign,benign
109,benign,benign,benign,benign,benign
110,benign,benign,benign,benign,benign
111,benign,benign,benign,benign,benign
112,benign,benign,benign,benign,benign
113,benign,benign,benign,benign,benign
114,benign,benign,benign,benign,benign
115,benign,benign,benign,benign,benign
116,benign,benign,benign,benign,benign
117,benign,benign,benign,benign,benign
118,benign,benign,benign,benign,benign
119,benign,benign,benign,benign,benign
120,benign,benign,benign,benign,benign
121,benign,benign,benign,benign,benign
122,benign,benign,benign,benign,benign
123,benign,benign,benign,benign,benign
124,benign,benign,benign,benign,benign
125,benign,benign,benign,benign,benign
126,benign,benign,benign,benign,benign
127,benign,benign,benign,benign,benign
128,benign,benign,benign,benign,benign
129,benign,benign,benign,benign,benign
130,benign,benign,benign,benign,benign
131,benign,benign,benign,benign,benign
132,benign,benign,benign,benign,benign
133,benign,benign,benign,benign,benign
134,benign,benign,benign,benign,benign
135,benign,benign,benign,benign,benign
136,benign,benign,benign,benign,benign
137,benign,benign,benign,benign,benign
138,benign,benign,benign,benign,benign
139,benign,benign,benign,benign,benign
140,benign,benign,benign,benign,benign
141,benign,benign,benign,benign,benign
142,benign,benign,benign,benign,benign
143,benign,benign,benign,benign,benign
144,benign,benign,benign,benign,benign
145,benign,benign,benign,benign,benign
146,benign,benign,benign,benign,benign
147,benign,benign,benign,benign,benign
148,benign,benign,benign,benign,benign
149,benign,benign,benign,benign,benign
150,benign,benign,benign,benign,benign
151,benign,benign,benign,benign,benign
152,benign,benign,benign,benign,benign
153,benign,benign,benign,benign,benign
154,benign,benign,benign,benign,benign
155,benign,benign,benign,benign,benign
156,benign,benign,benign,benign,benign
157,benign,benign,benign,benign,benign
158,benign,benign,benign,benign,benign
159,benign,benign,benign,benign,benign
160,benign,benign,benign,benign,benign
161,benign,benign,benign,benign,benign
162,benign,benign,benign,benign,benign
163,benign,benign,benign,benign,benign
164,benign,benign,benign,benign,benign
165,benign,benign,benign,benign,benign
166,benign,benign,benign,benign,benign
167,benign,benign,benign,benign,benign
168,benign,benign,benign,benign,malicious
169,benign,benign,benign,benign,benign
170,benign,benign,benign,benign,benign
171,benign,benign,benign,benign,benign
172,benign,benign,benign,benign,benign
173,benign,benign,benign,benign,benign
174,benign,benign,benign,benign,benign
175,benign,benign,benign,benign,benign
176,benign,benign,benign,benign,benign
177,benign,benign,benign,benign,benign
178,benign,benign,benign,benign,benign
179,benign,benign,benign,benign,benign
180,benign,benign,benign,benign,benign
181,benign,benign,benign,benign,benign
182,benign,benign,benign,benign,benign
183,benign,benign,benign,benign,benign
184,benign,benign,benign,benign,benign
185,benign,benign,benign,benign,benign
186,benign,benign,benign,benign,benign
187,benign,benign,benign,benign,benign
188,benign,benign,benign,benign,benign
189,benign,benign,benign,benign,benign
190,benign,benign,benign,benign,benign
191,benign,benign,benign,benign,benign
192,benign,benign,benign,benign,benign
193,benign,benign,benign,benign,benign
194,benign,benign,benign,benign,benign
195,benign,benign,benign,benign,benign
196,benign,benign,benign,benign,benign
197,benign,benign,benign,benign,benign
198,benign,benign,benign,benign,benign
199,benign,benign,benign,benign,benign
200,malicious,malicious,malicious,malicious,malicious
201,malicious,malicious,malicious,malicious,malicious
202,malicious,malicious,malicious,malicious,malicious
203,benign,malicious,malicious,malicious,malicious
204,malicious,malicious,malicious,malicious,malicious
205,malicious,malicious,malicious,malicious,malicious
206,malicious,malicious,malicious,malicious,malicious
207,malicious,benign,malicious,malicious,malicious
208,malicious,malicious,benign,benign,malicious
209,malicious,malicious,malicious,malicious,malicious
210,malicious,malicious,malicious,malicious,malicious
211,malicious,malicious,malicious,malicious,malicious
212,malicious,malicious,benign,malicious,malicious
213,malicious,malicious,malicious,malicious,malicious
214,malicious,malicious,malicious,malicious,malicious
215,benign,malicious,malicious,malicious,malicious
216,malicious,malicious,malicious,benign,malicious
217,malicious,malicious,malicious,malicious,malicious
218,malicious,malicious,malicious,malicious,malicious
219,malicious,malicious,malicious,malicious,malicious
220,malicious,malicious,malicious,malicious,malicious
221,malicious,malicious,malicious,malicious,malicious
222,malicious,malicious,malicious,malicious,malicious
223,malicious,malicious,malicious,malicious,malicious
224,malicious,benign,malicious,benign,malicious
225,malicious,malicious,malicious,malicious,malicious
226,malicious,malicious,malicious,malicious,malicious
227,malicious,benign,malicious,malicious,malicious
228,malicious,malicious,malicious,malicious,malicious
229,malicious,malicious,benign,malicious,malicious
230,malicious,malicious,malicious,malicious,malicious
231,malicious,benign,malicious,malicious,malicious
232,malicious,malicious,malicious,malicious,malicious
233,malicious,malicious,malicious,benign,malicious
234,malicious,malicious,malicious,malicious,malicious
235,malicious,malicious,malicious,malicious,malicious
236,malicious,malicious,malicious,malicious,malicious
237,malicious,malicious,malicious,malicious,malicious
238,malicious,malicious,benign,benign,malicious
239,malicious,malicious,malicious,malicious,malicious
240,malicious,malicious,malicious,malicious,malicious
