filename,ind1,ind2,ind3,ind4,combined
data400.txt,10,15,10,20,30
data401.txt,20,10,10,10,75
data402.txt,20,10,10,10,20
data403.txt,10,10,20,10,30
data404.txt,20,10,20,20,20
data405.txt,10,10,10,10,20
data406.txt,10,10,10,10,20
data407.txt,15,10,10,20,20
data408.txt,20,10,10,10,30
data409.txt,20,20,20,20,30
data410.txt,10,10,10,20,20
data411.txt,10,10,10,10,20
data412.txt,10,10,10,10,20
data413.txt,20,20,15,10,20
data414.txt,10,10,10,10,10
data415.txt,10,10,10,10,20
data416.txt,10,10,10,20,20
data417.txt,10,10,10,20,20
data418.txt,10,20,10,20,20
data419.txt,20,10,10,10,30
data420.txt,10,10,20,20,20
data421.txt,10,10,15,10,20
data422.txt,10,10,10,10,20
data423.txt,10,10,10,10,30
data424.txt,10,10,20,10,20
data425.txt,20,20,20,10,30
data426.txt,10,10,10,10,20
data427.txt,20,10,10,10,20
data428.txt,10,10,10,10,30
data429.txt,10,20,10,10,10
data430.txt,10,10,10,20,20
data431.txt,10,10,10,10,30
data432.txt,20,10,20,20,75
data433.txt,20,20,20,10,30
data434.txt,10,10,10,20,30
data435.txt,10,20,10,20,20
data436.txt,10,10,10,10,20
data437.txt,10,10,10,10,30
data438.txt,10,10,10,10,30
data439.txt,10,10,10,10,30
data440.txt,20,10,10,20,30
data441.txt,10,10,10,20,20
data442.txt,10,10,20,10,20
data443.txt,10,10,10,10,20
data444.txt,10,20,10,10,20
data445.txt,10,10,10,10,20
data446.txt,10,10,10,20,30
data447.txt,10,10,10,10,30
data448.txt,10,20,20,10,20
data449.txt,10,10,10,10,20
data450.txt,20,20,10,10,30
data451.txt,10,20,20,20,20
data452.txt,10,10,10,20,10
data453.txt,10,10,10,10,20
data454.txt,10,10,10,10,20
data455.txt,10,10,10,20,20
data456.txt,20,20,10,10,20
data457.txt,10,10,10,10,30
data458.txt,10,10,20,10,20
data459.txt,10,10,10,10,20
data460.txt,10,10,10,10,30
data461.txt,10,20,20,10,75
data462.txt,10,10,20,20,20
data463.txt,10,10,10,10,30
data464.txt,20,10,20,10,30
data465.txt,10,10,10,20,30
data466.txt,20,20,10,20,30
data467.txt,20,10,10,20,20
data468.txt,20,20,10,20,20
data469.txt,10,10,10,10,10
data470.txt,10,10,20,10,30
data471.txt,20,10,10,10,30
data472.txt,10,20,10,10,30
data473.txt,10,10,10,10,20
data474.txt,20,20,10,20,20
data475.txt,10,20,10,10,45
data476.txt,10,20,20,10,10
data477.txt,10,10,10,10,30
data478.txt,10,20,20,20,30
data479.txt,10,10,10,10,20
data480.txt,10,10,10,10,30
data481.txt,10,20,10,10,20
data482.txt,10,10,20,10,20
data483.txt,30,20,20,20,20
data484.txt,20,20,10,10,20
data485.txt,20,20,10,10,75
data486.txt,10,20,10,10,10
data487.txt,20,10,20,20,30
data488.txt,10,10,20,20,20
data489.txt,10,10,10,10,30
data490.txt,20,20,20,10,30
data491.txt,20,10,10,20,20
data492.txt,10,10,20,20,30
data493.txt,10,10,10,10,20
data494.txt,10,10,10,10,20
data495.txt,20,10,10,10,30
data496.txt,20,10,20,10,20
data497.txt,10,10,20,10,20
data498.txt,10,20,10,20,20
data499.txt,20,10,10,10,30
