filename,ind1,ind2,ind3,ind4
data201.txt,,,20,
data202.txt,,,85,
data204.txt,,,20,
data205.txt,,,45,
data206.txt,,,30,
data207.txt,,,30,
data209.txt,,,30,
data211.txt,,,45,
data213.txt,,,30,
data215.txt,,,75,
data217.txt,,,75,
data219.txt,,,20,
data220.txt,,,45,
data223.txt,,,30,
data224.txt,,,30,
data226.txt,,,85,
data227.txt,,,30,
data228.txt,,,30,
data232.txt,,,70,
data234.txt,,,20,
data236.txt,,,45,
data237.txt,,,30,
data239.txt,,,30,
data241.txt,,,20,
data242.txt,,,30,
data243.txt,,,65,
data244.txt,,,85,
data247.txt,,,75,
data248.txt,,,20,
data251.txt,,,30,
data255.txt,,,85,
data256.txt,,,85,
data263.txt,,,85,
data265.txt,,,30,
data269.txt,,,30,
data270.txt,,,75,
data271.txt,,,30,
data272.txt,,,30,
data274.txt,,,20,
data275.txt,,,20,
data277.txt,,,85,
data278.txt,,,85,
data279.txt,,,30,
data281.txt,,,30,
data285.txt,,,20,
data287.txt,,,20,
data290.txt,,,75,
data294.txt,,,85,
data303.txt,,,20,
data304.txt,,,30,
data305.txt,,,45,
data306.txt,,,20,
data308.txt,,,75,
data310.txt,,,30,
data311.txt,,,20,
data312.txt,,,30,
data315.txt,,,30,
data317.txt,,,30,
data319.txt,,,45,
data320.txt,,,45,
data322.txt,,,30,
data324.txt,,,20,
data325.txt,,,20,
data331.txt,,,70,
data333.txt,,,70,
data335.txt,,,30,
data336.txt,,,75,
data337.txt,,,30,
data340.txt,,,75,
data351.txt,,,30,
data356.txt,,,45,
data361.txt,,,20,
data362.txt,,,75,
data363.txt,,,30,
data368.txt,,,45,
data372.txt,,,85,
data373.txt,,,20,
data376.txt,,,75,
data377.txt,,,30,
data378.txt,,,30,
data380.txt,,,20,
data381.txt,,,30,
data383.txt,,,30,
data385.txt,,,30,
data386.txt,,,30,
data387.txt,,,30,
data390.txt,,,30,
data395.txt,,,30,
data396.txt,,,20,
data399.txt,,,30,
data500.txt,,,85,
data501.txt,,,30,
data504.txt,,,75,
data508.txt,,,20,
data512.txt,,,70,
data514.txt,,,85,
data515.txt,,,85,
data517.txt,,,30,
data518.txt,,,30,
data521.txt,,,75,
data522.txt,,,30,
data523.txt,,,30,
data526.txt,,,70,
data528.txt,,,30,
data529.txt,,,30,
data530.txt,,,45,
data531.txt,,,30,
data532.txt,,,20,
data533.txt,,,30,
data537.txt,,,20,
data541.txt,,,45,
data542.txt,,,30,
data543.txt,,,30,
data547.txt,,,20,
data554.txt,,,85,
data556.txt,,,30,
data557.txt,,,30,
data559.txt,,,65,
data562.txt,,,10,
data563.txt,,,30,
data567.txt,,,65,
data572.txt,,,10,
data573.txt,,,20,
data574.txt,,,85,
data575.txt,,,45,
data577.txt,,,30,
data578.txt,,,30,
data580.txt,,,85,
data581.txt,,,30,
data582.txt,,,20,
data589.txt,,,20,
data595.txt,,,85,
data596.txt,,,85,
data599.txt,,,30,
